Player1,Player2,Round,Result,FNL1,FNL2,FSP1,FSW1,SSP1,SSW1,ACE1,DBF1,WNR1,UFE1,BPC1,BPW1,NPA1,NPW1,TPW1,FSP2,FSW2,SSP2,SSW2,ACE2,DBF2,WNR2,UFE2,BPC2,BPW2,NPA2,NPW2,TPW2,G,mf
Lukas Lacko,Novak Djokovic,1,0,0,3,61,35,39,18,5,1,17,29,1,3,8,11,70,68,45,32,17,10,0,40,30,4,8,8,9,101,M,Lacko vs. Djokovic
Leonardo Mayer,Albert Montanes,1,1,3,0,61,31,39,13,13,1,13,1,7,14,,,80,60,23,40,9,1,4,1,4,0,0,,,42,M,Mayer vs. Montanes
Marcos Baghdatis,Denis Istomin,1,0,0,3,52,53,48,20,8,4,37,50,1,9,16,23,106,77,57,23,15,9,1,41,41,4,13,12,16,126,M,Baghdatis vs. Istomin
Dmitry Tursunov,Michael Russell,1,1,3,0,53,39,47,24,8,6,8,6,6,9,,,104,50,24,50,19,1,8,1,8,1,7,,,79,M,Tursunov vs. Russell
Juan Monaco,Ernests Gulbis,1,0,1,3,76,63,24,12,0,4,16,35,3,12,9,13,128,53,59,47,32,17,11,59,79,3,5,16,28,127,M,Monaco vs. Gulbis
Santiago Giraldo,Sam Querrey,1,0,1,3,65,51,35,22,9,3,35,41,2,7,6,12,108,63,60,37,22,24,4,47,45,4,7,14,17,122,M,Giraldo vs. Querrey
Dudi Sela,Jarkko Nieminen,1,0,2,3,68,73,32,24,5,3,41,50,9,17,14,30,173,60,66,40,34,2,6,57,72,10,17,25,36,173,M,Sela vs. Nieminen
Fabio Fognini,Alex Bogomolov Jr.,1,1,2,0,47,18,53,15,3,4,21,31,6,20,6,9,78,54,26,46,13,0,11,11,46,2,6,8,12,61,M,Fognini vs. Jr.
David Guez,Richard Gasquet,1,0,0,3,64,26,36,12,3,,20,39,3,7,5,14,67,67,42,33,14,12,,32,20,7,10,8,11,94,M,Guez vs. Gasquet
Nikolay Davydenko,Lukasz Kubot,1,1,3,2,77,76,23,11,6,4,6,4,7,24,,,162,60,68,40,25,8,12,8,12,6,14,,,141,M,Davydenko vs. Kubot
Pablo Carreno Busta,Julien Benneteau,1,0,2,3,53,46,47,35,7,7,47,58,4,5,19,33,126,66,62,34,24,16,4,49,46,7,19,30,43,152,M,Busta vs. Benneteau
Tommy Robredo,Lukas Rosol,1,1,3,2,57,62,43,43,13,0,50,38,6,18,15,19,177,51,72,49,41,11,12,82,96,3,7,28,44,152,M,Robredo vs. Rosol
Samuel Groth,Vasek Pospisil,1,0,0,3,65,40,35,17,16,4,35,25,0,2,20,43,74,67,45,33,13,6,4,31,17,4,10,6,10,94,M,Groth vs. Pospisil
Nicolas Mahut,Matthew Ebden,1,0,2,3,64,63,36,23,7,4,49,57,6,15,24,46,137,67,58,33,23,7,7,45,55,6,12,28,37,131,M,Mahut vs. Ebden
Alejandro Falla,Mikhail Kukushkin,1,1,3,1,60,50,40,23,4,2,4,2,10,28,,,151,55,55,45,23,2,3,2,3,4,14,,,128,M,Falla vs. Kukushkin
Stanislas Wawrinka,Andrey Golubev,1,1,2,0,63,20,37,6,4,1,23,11,4,9,13,14,54,64,18,36,10,0,0,8,15,1,2,6,12,37,M,Wawrinka vs. Golubev
Alejandro Gonzalez,David Ferrer,1,0,0,3,68,34,32,7,2,4,22,41,5,7,11,21,75,53,28,47,21,2,6,33,30,8,12,18,22,96,M,Gonzalez vs. Ferrer
Steve Johnson,Adrian Mannarino,1,0,2,3,53,50,47,28,21,12,21,12,4,6,,,129,58,52,42,37,3,3,3,3,7,11,,,142,M,Johnson vs. Mannarino
Ricardas Berankis,Alexandr Dolgopolov,1,0,0,3,50,39,50,26,10,3,28,38,1,3,17,31,91,58,42,42,23,7,4,37,31,5,16,12,12,114,M,Berankis vs. Dolgopolov
Jeremy Chardy,Jesse Huta Galung,1,1,3,0,66,46,34,16,9,2,31,27,4,9,12,13,94,57,41,43,13,9,7,30,33,0,5,14,17,80,M,Chardy vs. Galung
Jordan Thompson,Jerzy Janowicz,1,0,2,3,60,58,40,21,13,8,40,36,3,10,18,28,140,64,74,36,27,18,11,62,64,5,9,31,46,153,M,Thompson vs. Janowicz
Albert Ramos,Pablo Andujar,1,0,0,3,61,32,39,10,2,3,2,3,3,7,,,77,73,40,27,15,2,1,2,1,7,12,,,97,M,Ramos vs. Andujar
Florian Mayer,Denis Kudla,1,1,3,0,58,36,42,22,6,1,25,23,5,11,11,14,101,59,35,41,18,1,2,31,45,1,3,12,20,78,M,Mayer vs. Kudla
Mikhail Youzhny,Jan-Lennard Struff,1,1,3,0,69,39,31,17,5,2,11,30,7,9,5,8,95,49,24,51,12,2,8,20,61,2,5,15,22,66,M,Youzhny vs. Struff
Guillermo Garcia-Lopez,Tommy Haas,1,1,2,0,58,27,42,11,7,3,19,9,4,4,3,5,65,52,22,48,11,4,7,18,35,1,2,10,10,55,M,Garcia-Lopez vs. Haas
Carlos Berlocq,Edouard Roger-Vasselin,1,0,1,3,57,49,43,32,9,4,9,4,4,13,,,150,65,67,35,32,6,6,6,6,7,16,,,163,M,Berlocq vs. Roger-Vasselin
Dominic Thiem,Joao Sousa,1,1,3,1,55,60,45,31,20,3,20,3,5,12,,,148,65,57,35,30,8,0,8,0,3,8,,,133,M,Thiem vs. Sousa
Kevin Anderson,Jiri Vesely,1,1,3,2,63,76,37,28,21,9,21,9,3,14,,,154,57,69,43,43,16,10,16,10,2,6,,,154,M,Anderson vs. Vesely
Ivo Karlovic,Ivan Dodig,1,0,0,3,66,55,34,18,25,1,48,27,1,3,24,50,93,83,68,17,12,8,2,41,7,2,3,24,35,108,M,Karlovic vs. Dodig
Jan Hajek,Damir Dzumhur,1,0,0,3,73,31,27,6,2,6,2,6,1,2,,,55,53,31,47,19,4,3,4,3,7,12,,,95,M,Hajek vs. Dzumhur
Di Wu,Kenny De Schepper,1,0,0,3,60,46,40,29,3,5,33,36,2,13,23,35,125,62,63,38,20,19,13,58,66,4,11,29,44,134,M,Wu vs. Schepper
Tomas Berdych,Aleksandr Nedovyesov,1,1,3,0,66,39,34,19,9,0,35,17,4,14,13,23,97,61,37,39,17,8,2,22,37,0,2,11,16,67,M,Berdych vs. Nedovyesov
James Duckworth,Roger Federer,1,0,0,3,52,36,48,19,13,3,34,38,0,1,19,34,74,58,40,42,19,11,5,30,17,4,17,18,22,96,M,Duckworth vs. Federer
Radek Stepanek,Blaz Kavcic,1,0,2,2,51,37,49,29,5,11,51,54,4,11,22,32,104,63,43,37,22,10,6,41,27,6,14,6,15,121,M,Stepanek vs. Kavcic
Teymuraz Gabashvili,Sergiy Stakhovsky,1,1,3,1,58,49,42,24,5,4,5,4,9,17,,,133,55,50,45,21,14,8,14,8,3,6,,,112,M,Gabashvili vs. Stakhovsky
Fernando Verdasco,Ze Zhang,1,1,3,1,61,59,39,24,20,6,44,40,5,14,7,11,125,58,44,42,25,7,6,20,48,1,5,10,17,101,M,Verdasco vs. Zhang
Daniel Brands,Gilles Simon,1,0,2,3,63,109,37,36,41,4,111,81,2,25,29,44,231,56,114,44,57,32,18,75,53,4,10,37,55,230,M,Brands vs. Simon
Marin Cilic,Marcel Granollers,1,1,3,2,58,57,42,30,22,4,63,53,5,8,21,31,145,61,64,39,27,13,4,41,34,2,3,20,29,124,M,Cilic vs. Granollers
Thomaz Bellucci,Julian Reister,1,1,2,1,53,39,47,24,8,6,33,37,4,7,18,22,98,60,41,40,16,4,9,21,36,4,8,8,19,93,M,Bellucci vs. Reister
Jo-Wilfried Tsonga,Filippo Volandri,1,1,3,0,62,37,38,23,15,1,36,25,5,13,12,15,104,57,35,43,20,2,6,28,39,1,2,20,31,77,M,Tsonga vs. Volandri
Martin Klizan,John Isner,1,1,2,0,54,25,46,21,9,2,27,10,2,5,1,3,71,78,36,22,6,10,0,23,23,0,3,5,10,52,M,Klizan vs. Isner
Blaz Rola,Federico Delbonis,1,1,3,0,68,57,32,13,6,8,6,8,4,9,,,108,63,38,37,16,4,1,4,1,0,8,,,86,M,Rola vs. Delbonis
Michal Przysiezny,Horacio Zeballos,1,1,3,0,69,48,31,17,15,0,15,0,5,8,,,104,60,43,40,18,11,4,11,4,2,4,,,85,M,Przysiezny vs. Zeballos
Stephane Robert,Aljaz Bedene,1,1,3,0,46,25,54,21,4,2,22,22,9,17,11,12,104,54,40,46,9,16,11,28,52,4,5,6,10,74,M,Robert vs. Bedene
Somdev Devvarman,Feliciano Lopez,1,0,0,3,52,34,48,28,6,1,6,1,2,7,,,89,65,50,35,18,12,2,12,2,4,7,,,110,M,Devvarman vs. Lopez
Michael Berrer,Michael Llodra,1,1,3,0,63,39,37,19,9,6,9,6,5,12,,,95,72,47,28,12,10,5,10,5,0,2,,,74,M,Berrer vs. Llodra
Vincent Millot,Wayne Odesnik,1,1,3,2,57,63,43,34,18,9,54,68,11,26,8,11,173,67,67,33,22,11,2,39,73,7,20,10,17,158,M,Millot vs. Odesnik
Andy Murray,Go Soeda,1,1,3,0,69,33,31,11,12,2,32,13,7,13,4,5,84,61,28,39,6,6,3,23,33,0,0,11,16,49,M,Murray vs. Soeda
Rhyne Williams,Juan Martin Del Potro,1,0,1,3,57,52,43,25,29,1,55,39,1,2,12,18,107,64,62,36,23,16,3,46,29,4,8,21,28,122,M,Williams vs. Potro
Roberto Bautista Agut,Tim Smyczek,1,1,3,0,82,37,18,7,1,1,1,1,8,18,,,95,61,28,39,10,8,5,8,5,1,2,,,55,M,Agut vs. Smyczek
Nick Kyrgios,Benjamin Becker,1,1,3,1,54,60,46,25,34,13,71,52,6,8,5,8,133,53,45,47,31,12,5,38,36,3,7,6,6,114,M,Kyrgios vs. Becker
Benoit Paire,Frank Dancevic,1,1,3,0,57,54,43,22,24,6,58,25,3,12,22,35,117,59,47,41,20,12,3,36,14,1,4,15,32,97,M,Paire vs. Dancevic
Bradley Klahn,Grigor Dimitrov,1,0,1,3,58,54,42,28,10,9,10,9,0,0,,,105,57,55,43,30,14,4,14,4,4,8,,,133,M,Klahn vs. Dimitrov
Jimmy Wang,Yen-Hsun Lu,1,0,0,3,63,32,37,12,1,3,1,3,3,7,,,76,62,33,38,11,9,5,9,5,9,19,,,101,M,Wang vs. Lu
Peter Gojowczyk,Victor Hanescu,1,0,0,3,55,44,45,22,8,6,36,59,1,6,5,7,103,66,60,34,23,9,4,24,34,2,6,10,12,121,M,Gojowczyk vs. Hanescu
Milos Raonic,Daniel Gimeno-Traver,1,1,3,1,64,56,36,17,21,7,48,29,7,20,21,30,127,56,43,44,25,5,5,22,33,3,6,8,12,96,M,Raonic vs. Gimeno-Traver
Marinko Matosevic,Kei Nishikori,1,0,2,3,61,69,39,29,14,9,46,63,3,9,16,30,147,66,68,34,25,6,6,44,50,7,15,11,16,167,M,Matosevic vs. Nishikori
Dusan Lajovic,Lucas Pouille,1,1,3,1,61,53,39,30,7,7,28,57,5,10,8,17,141,61,55,39,22,2,10,41,88,4,8,23,39,126,M,Lajovic vs. Pouille
Robin Haase,Donald Young,1,0,1,3,67,56,33,18,11,6,38,56,1,4,13,15,106,73,58,27,16,0,5,34,33,2,7,29,40,124,M,Haase vs. Young
Andreas Seppi,Lleyton Hewitt,1,1,3,2,59,72,41,40,17,5,67,59,7,18,8,11,175,51,76,49,38,23,5,54,61,7,13,23,40,178,M,Seppi vs. Hewitt
Ryan Harrison,Gael Monfils,1,0,0,3,62,42,38,17,2,1,19,23,0,0,13,20,76,64,43,36,18,9,5,43,27,3,4,18,22,95,M,Harrison vs. Monfils
Tobias Kamke,Jack Sock,1,0,1,3,49,51,51,36,6,8,6,8,2,12,,,138,50,54,50,43,16,12,16,12,4,10,,,146,M,Kamke vs. Sock
Thanasi Kokkinakis,Igor Sijsling,1,1,3,1,54,55,46,36,8,9,54,45,3,5,14,23,135,59,56,41,23,20,5,53,47,4,9,23,36,135,M,Kokkinakis vs. Sijsling
Rafael Nadal,Bernard Tomic,1,1,1,0,62,14,38,6,5,1,13,5,1,1,5,5,30,71,15,29,3,3,1,13,7,0,0,3,5,24,M,Nadal vs. Tomic
Serena Williams,Ashleigh Barty,1,1,2,0,59,20,41,8,6,2,31,17,5,10,10,11,58,51,14,49,11,1,4,5,18,0,0,2,4,31,F,Williams vs. Barty
Vesna Dolonc,Lara Arruabarrena,1,1,2,1,65,33,35,10,7,4,7,4,5,10,,,78,62,33,38,10,0,3,0,3,4,7,,,74,F,Dolonc vs. Arruabarrena
Pauline Parmentier,Karolina Pliskova,1,0,0,2,63,16,37,4,3,6,3,6,0,2,,,37,60,26,40,7,5,0,5,0,5,14,,,64,F,Parmentier vs. Pliskova
Heather Watson,Daniela Hantuchova,1,0,1,2,61,41,39,19,8,3,27,45,4,7,10,13,88,68,43,32,10,6,2,37,44,5,13,5,8,102,F,Watson vs. Hantuchova
Samantha Stosur,Klara Zakopalova,1,1,2,0,65,28,35,11,6,1,19,18,7,10,7,10,74,50,18,50,7,1,5,27,27,4,14,10,15,60,F,Stosur vs. Zakopalova
Tsvetana Pironkova,Silvia Soler-Espinosa,1,1,2,0,62,28,38,12,5,0,30,21,3,5,4,7,68,50,18,50,14,3,2,11,23,0,3,6,6,44,F,Pironkova vs. Soler-Espinosa
Annika Beck,Petra Martic,1,1,2,0,67,18,33,8,0,0,8,10,6,11,3,3,52,50,8,50,4,2,6,7,34,0,2,3,7,25,F,Beck vs. Martic
Kiki Bertens,Ana Ivanovic,1,0,0,2,61,15,39,11,2,4,23,35,6,11,10,16,61,60,24,40,9,3,4,14,22,8,9,4,6,73,F,Bertens vs. Ivanovic
Roberta Vinci,Jie Zheng,1,0,0,2,66,23,34,7,3,3,20,28,3,10,7,12,56,68,26,32,10,0,2,26,25,5,7,1,2,67,F,Vinci vs. Zheng
Patricia Mayr-Achleitner,Madison Keys,1,0,1,2,71,48,29,14,0,1,0,1,5,12,,,113,52,45,48,30,11,4,11,4,8,10,,,135,F,Mayr-Achleitner vs. Keys
Casey Dellacqua,Vera Zvonareva,1,1,2,0,66,22,34,13,0,0,10,19,4,10,1,2,67,65,22,35,9,2,4,14,43,0,1,5,8,40,F,Dellacqua vs. Zvonareva
Laura Robson,Kirsten Flipkens,1,0,0,2,57,14,43,5,2,5,12,32,0,0,6,10,27,57,18,43,11,7,2,14,4,5,6,2,4,54,F,Robson vs. Flipkens
Eugenie Bouchard,Hao Chen Tang,1,1,2,0,64,30,36,16,1,4,1,4,5,11,,,82,57,21,43,12,1,6,1,6,2,7,,,64,F,Bouchard vs. Tang
Alison Van Uytvanck,Virginie Razzano,1,0,0,2,54,32,46,15,5,4,22,40,2,7,4,6,78,58,39,42,18,7,9,21,41,2,3,8,11,82,F,Uytvanck vs. Razzano
Sachia Vickery,Lauren Davis,1,0,0,2,51,14,49,12,,3,8,36,3,5,5,11,47,61,23,39,7,,0,15,23,6,7,7,12,63,F,Vickery vs. Davis
Julia Goerges,Sara Errani,1,1,2,0,50,20,50,15,4,2,39,36,5,9,7,10,65,77,21,23,5,1,0,6,11,2,5,4,4,49,F,Goerges vs. Errani
Na Li,Ana Konjuh,1,1,2,0,76,24,24,7,3,0,20,18,5,12,13,19,61,50,13,50,9,0,5,7,25,0,1,3,6,36,F,Li vs. Konjuh
Belinda Bencic,Kimiko Date-Krumm,1,1,2,1,53,25,47,15,5,5,27,44,10,20,7,14,94,71,31,29,10,1,4,29,47,8,13,9,17,87,F,Bencic vs. Date-Krumm
Donna Vekic,Lucie Hradecka,1,0,0,2,47,17,53,9,1,2,1,2,0,5,,,37,54,23,46,12,9,4,9,4,4,7,,,58,F,Vekic vs. Hradecka
Julia Glushko,Lucie Safarova,1,0,1,2,61,35,39,20,6,3,6,3,2,7,,,82,59,37,41,21,3,4,3,4,4,8,,,92,F,Glushko vs. Safarova
Ekaterina Makarova,Venus Williams,1,1,2,1,63,43,37,17,1,4,21,26,5,12,6,10,97,55,36,45,18,5,8,50,56,5,14,20,24,103,F,Makarova vs. Williams
Anabel Medina Garrigues,Irina Falconi,1,0,0,2,86,18,14,3,0,1,0,1,2,4,,,41,53,18,47,13,3,3,3,3,6,7,,,60,F,Garrigues vs. Falconi
Shahar Peer,Monica Niculescu,1,0,0,2,80,21,20,2,2,1,23,38,3,7,9,23,49,82,26,18,3,1,0,10,13,7,10,10,14,61,F,Peer vs. Niculescu
Mirjana Lucic-Baroni,Sabine Lisicki,1,0,0,2,43,17,57,8,2,10,11,26,0,7,0,3,51,52,32,48,15,7,6,28,24,4,8,10,14,75,F,Lucic-Baroni vs. Lisicki
Angelique Kerber,Jarmila Gajdosova,1,1,2,1,65,36,35,13,6,5,30,17,4,7,9,12,81,53,29,47,12,2,6,41,31,4,11,22,33,80,F,Kerber vs. Gajdosova
Caroline Garcia,Alla Kudryavtseva,1,0,0,2,58,22,42,15,3,7,3,7,4,6,,,77,58,37,42,14,3,4,3,4,6,10,,,93,F,Garcia vs. Kudryavtseva
Dinah Pfizenmaier,Yanina Wickmayer,1,0,0,2,48,24,52,23,3,12,3,12,2,15,,,87,58,38,42,15,6,8,6,8,4,7,,,95,F,Pfizenmaier vs. Wickmayer
Alison Riske,Elena Vesnina,1,1,2,0,64,24,36,8,4,3,15,16,4,8,5,5,57,62,17,38,10,2,4,9,31,0,0,1,1,34,F,Riske vs. Vesnina
Flavia Pennetta,Alexandra Cadantu,1,1,2,0,40,16,60,14,2,3,28,21,6,17,9,11,66,58,14,42,9,1,8,13,36,1,3,5,8,41,F,Pennetta vs. Cadantu
Monica Puig,Anna Tatishvili,1,1,2,0,61,30,39,13,8,5,25,27,4,5,6,6,68,68,20,32,5,0,4,10,23,1,8,6,7,48,F,Puig vs. Tatishvili
Shuai Zhang,Mona Barthel,1,0,0,2,75,31,25,8,2,1,17,21,2,6,8,10,68,69,41,31,10,2,3,33,30,3,6,8,9,77,F,Zhang vs. Barthel
Luksika Kumkhum,Petra Kvitova,1,1,2,1,48,26,52,20,4,6,28,27,5,16,7,8,92,60,36,40,15,3,8,32,40,4,12,12,16,80,F,Kumkhum vs. Kvitova
Jelena Jankovic,Misaki Doi,1,1,2,0,60,23,40,11,6,6,20,19,5,8,2,4,59,52,12,48,5,1,3,10,26,1,8,0,2,36,F,Jankovic vs. Doi
Nadiya Kichenok,Ayumi Morita,1,0,0,2,63,27,37,11,4,7,24,43,2,8,11,14,68,62,30,38,16,6,2,20,24,4,5,1,3,75,F,Kichenok vs. Morita
Kurumi Nara,Shuai Peng,1,1,2,1,74,39,26,10,1,6,23,37,8,16,2,4,103,63,40,37,16,3,5,36,54,6,10,4,6,96,F,Nara vs. Peng
Andrea Petkovic,Magdalena Rybarikova,1,0,0,2,68,23,32,6,1,4,15,31,1,3,7,11,48,67,27,33,8,4,1,18,16,5,8,9,16,66,F,Petkovic vs. Rybarikova
Sorana Cirstea,Marina Erakovic,1,0,0,2,57,25,43,13,5,1,20,32,3,14,6,7,78,59,35,41,17,6,5,28,45,4,6,5,8,83,F,Cirstea vs. Erakovic
Zarina Diyas,Katerina Siniakova,1,1,2,0,74,33,26,6,1,4,1,4,5,6,,,72,57,22,43,10,2,3,2,3,2,6,,,58,F,Diyas vs. Siniakova
Lesia Tsurenko,Varvara Lepchenko,1,0,1,2,63,35,37,20,1,3,9,34,3,9,0,1,92,64,42,36,15,3,5,32,52,3,9,11,13,93,F,Tsurenko vs. Lepchenko
Katarzyna Piter,Simona Halep,1,0,0,2,77,12,23,1,1,3,5,25,0,2,5,8,24,61,21,39,9,3,2,13,14,5,9,1,2,52,F,Piter vs. Halep
Carla Suarez Navarro,Vania King,1,1,2,0,79,31,21,4,0,1,17,19,4,5,6,9,61,69,20,31,5,1,2,12,28,1,2,5,14,42,F,Navarro vs. King
Galina Voskoboeva,Irina-Camelia Begu,1,1,2,1,64,41,36,18,3,3,3,3,6,11,,,109,62,44,38,15,2,7,2,7,5,9,,,94,F,Voskoboeva vs. Begu
Kristina Mladenovic,Stefanie Voegele,1,0,0,2,48,29,52,19,3,8,23,41,1,1,14,22,61,66,32,34,13,7,1,19,20,3,12,5,7,76,F,Mladenovic vs. Voegele
Francesca Schiavone,Dominika Cibulkova,1,0,0,2,60,21,40,11,5,2,14,27,1,6,5,11,57,61,33,39,14,0,6,21,30,3,7,6,7,72,F,Schiavone vs. Cibulkova
Alize Cornet,Polona Hercog,1,0,,,75,3,25,1,1,,2,0,,,1,1,5,0,0,100,1,0,,1,1,,,0,0,1,F,Cornet vs. Hercog
Camila Giorgi,Storm Sanders,1,1,2,1,51,38,49,23,5,13,27,47,4,12,3,7,97,63,35,37,12,2,3,13,34,2,7,4,4,81,F,Giorgi vs. Sanders
Paula Ormaechea,Karin Knapp,1,0,0,2,57,26,43,7,2,7,2,7,2,3,,,56,61,26,39,8,4,3,4,3,5,10,,,69,F,Ormaechea vs. Knapp
Bethanie Mattek-Sands,Maria Sharapova,1,0,0,2,57,27,43,10,4,8,18,30,2,6,7,9,65,53,31,47,13,5,9,29,28,4,8,3,7,77,F,Mattek-Sands vs. Sharapova
Agnieszka Radwanska,Yulia Putintseva,1,1,2,1,59,36,41,15,9,1,38,31,7,11,22,35,96,52,29,48,16,0,6,27,33,3,8,11,17,76,F,Radwanska vs. Putintseva
Olga Govortsova,Ying-Ying Duan,1,1,2,0,68,35,32,8,10,4,10,4,4,12,,,78,60,24,40,16,1,1,1,1,1,5,,,62,F,Govortsova vs. Duan
Carina Witthoeft,Mandy Minella,1,0,0,2,62,16,38,10,1,4,1,4,2,6,,,47,56,17,44,16,0,2,0,2,5,8,,,62,F,Witthoeft vs. Minella
Teliana Pereira,Anastasia Pavlyuchenkova,1,0,0,2,68,43,32,14,3,7,3,7,2,4,,,84,62,32,38,15,3,5,3,5,3,12,,,93,F,Pereira vs. Pavlyuchenkova
Kaia Kanepi,Garbine Muguruza,1,0,1,2,64,27,36,12,6,3,22,39,3,9,3,4,69,51,28,49,20,5,4,26,31,5,12,1,3,85,F,Kanepi vs. Muguruza
Timea Babos,Anna Schmiedlova,1,0,1,2,60,46,40,17,8,11,8,11,5,24,,,120,66,54,34,23,5,5,5,5,6,14,,,126,F,Babos vs. Schmiedlova
Christina McHale,Yung-Jan Chan,1,1,2,0,71,31,29,11,4,3,4,3,5,9,,,77,68,28,32,10,0,6,0,6,3,3,,,66,F,McHale vs. Chan
Lourdes Dominguez Lino,Caroline Wozniacki,1,0,0,2,58,10,42,8,,2,9,30,1,2,5,7,31,61,17,39,11,,2,15,16,6,12,11,18,58,F,Lino vs. Wozniacki
Sloane Stephens,Yaroslava Shvedova,1,1,2,0,75,31,25,7,1,1,22,27,6,12,1,3,82,58,22,42,10,3,13,14,43,4,6,3,6,61,F,Stephens vs. Shvedova
Tadeja Majeric,Ajla Tomljanovic,1,0,1,2,72,54,28,10,4,7,4,7,3,6,,,99,49,36,51,25,5,6,5,6,3,6,,,97,F,Majeric vs. Tomljanovic
Olivia Rogowska,Mariana Duque-Marino,1,1,2,0,63,25,37,10,2,6,21,31,6,13,4,5,66,67,18,33,5,4,4,10,32,3,8,2,6,47,F,Rogowska vs. Duque-Marino
Elina Svitolina,Svetlana Kuznetsova,1,1,2,0,61,26,39,8,5,5,27,21,5,12,12,18,65,48,20,52,11,1,4,17,24,2,4,4,5,53,F,Svitolina vs. Kuznetsova
Bojana Jovanovski,Jana Cepelova,1,1,2,1,76,43,24,11,0,1,0,1,9,13,,,100,69,28,31,7,2,5,2,5,5,12,,,81,F,Jovanovski vs. Cepelova
Chanelle Scheepers,Yvonne Meusburger,1,0,0,2,53,27,47,12,2,13,2,13,4,7,,,71,68,32,32,12,1,5,1,5,5,11,,,80,F,Scheepers vs. Meusburger
Su-Wei Hsieh,Barbora Zahlavova Strycova,1,0,1,2,58,33,42,15,1,5,14,39,1,4,11,16,75,68,39,32,13,5,2,31,36,5,17,22,28,95,F,Hsieh vs. Strycova
